,img,calculo,femenino,humanista,masculino
1,cesteria_01,2248.5633648802313,1314.4334698793205,1419.8417501520294,2247.216392514182
2,cesteria_02,613.9949933424816,328.7507126647575,453.29929081572044,613.79763119254
3,cesteria_03,1455.1068996519698,1249.4934776881025,1810.4720911793747,1453.6294748385094
4,cesteria_04,936.7369008076282,784.9521063562657,1245.5203418591848,936.344061196013
5,cesteria_05,1998.8096696183056,1887.1382776406112,2124.4500944511483,1997.5348566107536
6,cesteria_06,3231.8774764744985,2276.676849500192,1923.1160410958937,3228.7870835948684
7,cesteria_07,1498.2242410883953,589.4153970639618,1442.0714610455432,1497.2025272484104
8,cesteria_08,1713.2321270122977,2051.7389688251,2410.445206667543,1712.418824078657
9,cesteria_09,1102.9598477661702,1246.268307429781,1439.1160696367879,1102.553624745562
10,cesteria_10,1022.203667686292,596.4002041365527,1087.904224513226,1021.6681280424864
11,jarra_01,1360.2802298430033,428.1533937477569,1338.3802227417214,1358.9371520267555
12,jarra_02,1676.1613836106062,918.5802733908129,2061.427932373485,1674.0766713499002
13,jarra_03,949.3213754210985,742.1372340463663,1903.2228230474998,948.5449809239904
14,jarra_04,870.1286737067512,1992.3070921808485,1684.9718519541448,869.3657383265496
15,jarra_05,1859.967304852476,967.9522133500411,1329.5557481630904,1855.8444021983091
16,jarra_06,2004.9636956143781,1063.818285509219,2415.6707346779986,2001.7694810435605
17,jarra_07,697.6978955888308,798.5260963726683,889.9100610163403,697.1957565943347
18,jarra_08,2005.656663322975,1021.1615309047494,2315.633117729498,2004.6562160469598
19,jarra_09,1584.9598440810307,1065.8659012644957,1500.5592849534582,1583.797046481231
20,jarra_10,1126.7301632485444,434.48620507445435,1416.1587576531724,1126.0549188624689
